W00-1401 "Evaluation Metrics for Generation"
W00-1402 "A Task-based Framework to Evaluate Evaluative Arguments"
W00-1403 "An empirical study of multilingual natural language generation: What Should a Text Planner Do?"
W00-1404 "Document structure and multilingual authoring"
W00-1405 "DTD-driven bilingual document generation"
W00-1406 "Towards the Generation of Rebuttals in a Bayesian Argumentation System"
W00-1407 "A strategy for generating evaluative arguments"
W00-1408 "Using Argumentation Strategies in Automated Argument Generation"
W00-1409 "An extended architecture for robust generation"
W00-1410 "Reinterpretation of an Existing NLG System in a Generic Generation Architecture"
W00-1411 "An integrated framework for text planning and pronominalisation"
W00-1412 "Incremental Event Conceptualization and Natural Language Generation in Monitoring Enviroments"
W00-1413 "The hyperonym problem revisited:  Conceptual and lexical hierarchies in language generation"
W00-1414 "Generating Referring Quantified Expressions"
W00-1415 "An Empirical Analysis of Constructing Non-restrictive NP Modifiers to Express Semantic Relations"
W00-1416 "On identifying sets"
W00-1417 "Content aggregation in natural language hypertext summarization of OLAP and Data Mining Discoveries"
W00-1418 "Optimising text quality in generation from relational databases"
W00-1419 "Generating a controlled language"
W00-1420 "Multilingual Summary Generation in a Speech-To-Speech Translation System for Multilingual Dialogues"
W00-1421 "Planning word-order dependant focus assignments"
W00-1422 "Enriching partially-specified representations for text realization using an attribute grammar"
W00-1423 "Coordination and context-dependence in the generation of embodied conversation"
W00-1424 "Generating Vague Descriptions"
W00-1425 "Capturing the Interaction between Aggregation and Text Planning in Two Generation Systems "
W00-1426 "Can text structure be incompatible with rhetorical structure?"
W00-1427 "Robust, applied morphological generation"
W00-1428 "Integrating a Large-Scale, Reusable Lexicon with a Natural Language Generator"
W00-1429 "Knowledge Acquisition for Natural Language Generation"
W00-1430 "From Context to Sentence Form"
W00-1431 "The CLEF semi-recursive generation algorithm"
W00-1432 "Sentence Generation and Neural Networks"
W00-1433 "Rhetorical Structure in Dialog"
W00-1434 "RSTTool 2.4 - A markup Tool for Rhetorical Structure Theory"
W00-1435 "Demonstration of ILEX 3.0"
W00-1436 "A development Environment for an MTT-Based Sentence Generator"
W00-1437 "YAG: A Template-Based Generator for Real-Time Systems"
W00-1438 "An Efficient Text Summarizer using Lexical Chains"
W00-1439 "Invited Talk: From lexica-aspectual components to syntax"
W00-1602 "Precompilation of HPSG in ALE into a CFG for Fast Parsing"
W00-1605 "Some Experiments on Indicators of Parsing Complexity for Lexicalized Grammars"
W00-1701 "Semantic Annotation of a Japanese Speech Corpus"
W00-1702 "Exploring Automatic Word Sense Disambiguation with Decision Lists and the Web"
W00-1704 "Building an Annotated Corpus in the Molecular-Biology Domain"
W00-1705 "Semantic Annotation for Generation: Issues in Annotating a Corpus to Develop and Evaluate Discourse Entity Realization Algorithms"
W00-1706 "An Environment for Extracting Resolution Rules of Zero Pronouns from Corpora"
W00-1707 "Discourse Structure Analysis for News Video"
W00-1709 "Semantic Transcoding: Making the WWW More Understandable and Usable with External Annotations"
W01-0801 "Corpus-Based Methods in Natural Language Generation: Friends or Foe? (invited talk)"
W01-0802 "A Two-Staged Model For Content Determination"
W01-0803 "Document Structuring \u00e0 la SDRT"
W01-0804 "Logical Form Equivalence: the Case of Referring Expressions Generation"
W01-0805 "A Meta-Algorithm for the Generation of Referring Expressions"
W01-0806 "An Algorithm for Efficiently Generating Summary Paragraphs Using Tree-Adjoining Grammar"
W01-0807 "On Using a Parallel Graph Rewriting Formalism in Generation"
W01-0808 "Multilingual Sentence Generation"
W01-0809 "Generation of Vietnamese for French-Vietnamese and English-Vietnamese Machine Translation"
W01-0810 "Linear Order as Higher-Level Decision: Information Structure in Strategic and Tactical Generation"
W01-0811 "Learn to Speak and to Write, Learn to Use Your Mind The Relevance of the Work of Natural Language Generation (invited talk)"
W01-0812 "Reusing a Statistical Language Model for Generation"
W01-0813 "Applying Natural Language Generation to Indicative Summarization"
W01-0814 "A Paraphrase-Based Exploration of Cohesiveness Criteria"
W01-1601 "Annotations and Tools for an Activity Based Spoken Language Corpus"
W01-1602 "Variant Transduction: A Method for Rapid Development of Interactive Spoken Interfaces"
W01-1603 "Development of a Machine Learnable Discourse Tagging Tool"
W01-1604 "Against the Identification of Anaphora and Presupposition"
W01-1605 "Building a Discourse-Tagged Corpus in the Framework of Rhetorical Structure Theory"
W01-1606 "An Empirical Study of Speech Recognition Errors in a Task-Oriented Dialogue System"
W01-1607 "Comparing Several Aspects of Human-Computer and Human-Human Dialogues"
W01-1608 "Generating Full Paraphrases of Fragments in a Dialogue Interpretation System"
W01-1609 "Automated Tutoring Dialogues for Training in Shipboard Damage Control"
W01-1610 "Labeling Corrections and Aware Sites in Spoken Dialogue Systems"
W01-1611 "Confidence-Based Adaptivity in Response Generation for a Spoken Dialogue System"
W01-1612 "Annotating Anaphoric and Bridging Relations with MMAX"
W01-1613 "A Study of Automatic Pitch Tracker Doubling/Halving \"Errors\""
W01-1614 "Empirical Methods for Evaluating Dialog Systems"
W01-1615 "Integration of Referential Scope Limitations into Japanese Pronoun Resolution"
W01-1616 "On the Means for Clarification in Dialogue"
W01-1617 "Plug and Play Speech Understanding"
W01-1618 "Designing Confirmation Mechanisms and Error Recover Techniques in a Railway Information System for Spanish"
W01-1619 "A Telephone-Based Railway Information System for Spanish: Development of a Methodology for Spoken Dialogue Design"
W01-1620 "A Hybrid Approach to the Development of Dialogue Systems directed by Semantics"
W01-1621 "Reconciling Initiative and Discourse Structure"
W01-1622 "Adding Extra Input/Output Modalities to a Spoken Dialogue System"
W01-1623 "Toward a Large Spontaneous Mandarin Dialogue Corpus"
W01-1624 "Conversational Implicatures"
W01-1625 "Melodic Cues to Turn-Taking in English: Evidence from Perception"
W01-1626 "A Corpus Study of Evaluative and Speculative Language"
W01-1627 "Dialogue Tagsets in Oncology"
W01-1628 "Visualizing Spoken Discourse: Prosodic Form and Discourse Functions of Interruptions"
W02-0201 "Synchronization in an Asynchronous Agent-based architecture for Dialogue Systems"
W02-0202 "The Prosodic Transcription of a Corpus of Hong Kong English - Collection Criteria,Transcription System and Preliminary Findings"
W02-0203 "Non-Sentential Utterances in Dialogue: A: Corpus-Based Study"
W02-0204 "A Semantic Account of Adverbials as Discourse Connectives"
W02-0205 "MUP - The UIC Standoff Markup Tool"
W02-0206 "An Experiment to evaluate the effectiveness of cross-media cues in computer media"
W02-0207 "Annotating the Semantic Consistency of Speech Recognition Hypotheses"
W02-0208 "DialogueView - An Annotation Tool for Dialogue"
W02-0209 "A Flexible Framework for Developing Mixed-Initiative Dialog Systems"
W02-0210 "Adaptive Dialogue Systems - Interaction with Interact"
W02-0211 "Discourse Processing for Explanatory Essays in Tutorial Applications"
W02-0212 "Conditional responses in information-seeking dialogues"
